narrator,questType,instanceIndex,seed,location,targetFlavour,timeOfDay,requiredCount,len,self_bleu,cover_any,cover_exact,latencyMs,jsonValid,usedFallback,title,description
Template,DefeatCount,0,42000,断崖边的栈道,侵略军的足轻,黄昏,3,57,1.0,0,0,0,True,False,讨伐任务,芦苇之国内忧外患，境内又现敌踪。共 3 名，将其全部消灭，以免祸及村民。
TemplateRandom,DefeatCount,0,42000,断崖边的栈道,侵略军的足轻,黄昏,3,58,0.8333,3,3,0,True,False,剿敌任务,黄昏，村中长老递来口信，3 名侵略军的足轻正在断崖边的栈道威胁着村民。
LLM,DefeatCount,0,42000,断崖边的栈道,侵略军的足轻,黄昏,3,111,0.5259,3,2,3239,True,False,栈道上的黄昏战,黄昏的断崖栈道上，侵略军的足轻正三三两两巡逻，他们封锁了前进的道路。为了继续寻找神子，你必须无声无息地清除这些障碍。
Template,DefeatCount,1,42001,瀑布下的水潭,失去理智的武士,雨夜,8,57,1.0,0,0,0,True,False,讨伐任务,芦苇之国内忧外患，境内又现敌踪。共 8 名，将其全部消灭，以免祸及村民。
TemplateRandom,DefeatCount,1,42001,瀑布下的水潭,失去理智的武士,雨夜,8,78,0.7742,3,3,0,True,False,讨伐委托,雨夜，神子身边的侍从传令，探得 8 名失去理智的武士埋伏于瀑布下的水潭。
LLM,DefeatCount,1,42001,瀑布下的水潭,失去理智的武士,雨夜,8,150,0.5025,3,2,3399,True,False,雨夜潭影,暴雨如注，瀑布下的水潭在闪电中泛着惨白的光芒。那些因渴求不死而饮下瀑布水的武士，如今在雨夜中徘徊，他们已失去理智，化作了嗜血的怪物。你必须击败他们，才能继续追寻被囚禁的神子。
Template,DefeatCount,2,42002,被焚毁的村落,敌国的斥候,大雪初霁,6,57,1.0,0,0,0,True,False,讨伐任务,芦苇之国内忧外患，境内又现敌踪。共 6 名，将其全部消灭，以免祸及村民。
TemplateRandom,DefeatCount,2,42002,被焚毁的村落,敌国的斥候,大雪初霁,6,61,0.9207,3,3,0,True,False,边境警讯,大雪初霁，芦苇城下传来骚动，已有 6 名敌国的斥候潜入被焚毁的村落。
LLM,DefeatCount,2,42002,被焚毁的村落,敌国的斥候,大雪初霁,6,120,0.5553,3,2,3234,True,False,雪中拔刀,大雪初霁，被焚毁的村落覆上一层惨白。敌国斥候的足迹在雪地上杂乱交织，他们正搜寻神子的下落。为了不让不死之水的情报外泄，影子必须无声地清除这些入侵者。
Template,DefeatCount,3,42003,芦苇城下,手持火铳的雇佣兵,正午,4,57,1.0,1,0,0,True,False,讨伐任务,芦苇之国内忧外患，境内又现敌踪。共 4 名，将其全部消灭，以免祸及村民。
